id,source,target,src_sentence,tar_sentence,src_true_y,AMT_src_ratings,AMT_tar_ratings
1517508,cute,super,Cute cute & cute,Cute super & super,0,"[1, 1, 1, 1, 2, 2, 2, 2, 4, 4]","[1, 2, 2, 2, 2, 2, 2, 2, 2, 5]"
1046256,wonderful,phenomenal,Good morning everyone ! I hope you have a wonderful day .. :-},Good morning everyone ! I hope you have a phenomenal day .. :-},0,"[2, 2, 2, 3, 3, 3, 3, 3, 4, 4]","[2, 2, 2, 2, 2, 2, 3, 3, 3, 4]"
305644,precious,valuable,Goodness Rachel's mom is precious .. Why couldn't rachel be more like her ? @user,Goodness Rachel's mom is valuable .. Why couldn't rachel be more like her ? @user,0,"[1, 1, 1, 1, 2, 2, 2, 2, 2, 2]","[1, 2, 2, 2, 3, 3, 4, 4, 4, 4]"
1952313,crazy,incredible,What's ' crazy ' to y'all ?,What's ' incredible ' to y'all ?,0,"[2, 2, 3, 3, 4, 4, 4, 4, 5]","[2, 3, 3, 3, 3, 4, 4, 4, 4]"
2243092,precious,rare,I can't stand the kids that just have to cheat on league for their precious master rank . If you were actually good you wouldn't . #BlackOps2,I can't stand the kids that just have to cheat on league for their rare master rank . If you were actually good you wouldn't . #BlackOps2,0,"[4, 4, 4, 4, 4, 5, 5, 5, 5, 5]","[3, 4, 4, 4, 4, 5, 5, 5, 5]"
2207403,gay,homo,To gay to function,To homo to function,0,"[3, 4, 4, 4, 4, 5, 5, 5, 5, 5]","[3, 4, 4, 4, 5, 5, 5, 5, 5, 5]"
1952720,crazy,incredible,I'm going crazy crazy crazy !!,I'm going incredible incredible incredible !!,0,"[1, 1, 1, 2, 2, 2, 3, 3, 3, 3]","[2, 2, 2, 3, 3, 3, 4, 4, 4, 5]"
2026178,wonderful,impressive,Goodbye lunch for our wonderful summer interns ! #mmgyglobal (@ Briarpatch Resturant w/ @user ) [ pic ]: http://url,Goodbye lunch for our impressive summer interns ! #mmgyglobal (@ Briarpatch Resturant w/ @user ) [ pic ]: http://url,0,"[1, 1, 2, 2, 3, 3, 3, 3, 4, 4]","[1, 2, 2, 2, 2, 2, 2, 3, 3, 4]"
1534961,lovely,super,Pork chops smelling lovely,Pork chops smelling super,0,"[2, 2, 2, 2, 2, 3, 3, 3, 3, 4]","[2, 2, 3, 3, 3, 3, 4, 4, 4, 5]"
1928561,excited,awesome,Im excited for tomorrow but I can't say,Im awesome for tomorrow but I can't say,0,"[2, 2, 2, 3, 3, 3, 3, 3, 3, 4]","[1, 2, 2, 2, 3, 3, 3, 3, 4]"
1705603,sister,mate,Happy 22nd birthday to my sister ! @user xoxo,Happy 22nd birthday to my mate ! @user xoxo,0,"[1, 1, 1, 2, 2, 3, 3, 3, 3, 3]","[2, 3, 3, 4, 4, 4, 5, 5, 5, 5]"
347929,yummy,tasty,"PS The Fry Sauce made in Ogden is all over the place here . We can get it at Winco I think . I know , not a healthy dip , but yummy .","PS The Fry Sauce made in Ogden is all over the place here . We can get it at Winco I think . I know , not a healthy dip , but tasty .",0,"[1, 2, 2, 2, 2, 3, 3, 3, 4]","[2, 2, 2, 2, 2, 3, 3, 4, 5]"
1705385,sister,mate,My sister is a fucking weirdo no I will not watch rupauls drag race with you,My mate is a fucking weirdo no I will not watch rupauls drag race with you,0,"[3, 3, 4, 4, 4, 4, 5, 5, 5, 5]","[2, 4, 4, 4, 4, 5, 5, 5, 5]"
1926677,excited,awesome,Scottsdale bound . #excited #roadtrip,Scottsdale bound . #awesome #roadtrip,0,"[2, 3, 3, 3, 3, 3, 3, 4, 4, 5]","[2, 2, 3, 3, 4, 4, 4, 5, 5]"
1699252,fabulous,phenomenal,People keep saying gay is okay I think gay is fabulous because we can fucking be what ever we want and we shouldn't be judged #gayisfab,People keep saying gay is okay I think gay is phenomenal because we can fucking be what ever we want and we shouldn't be judged #gayisfab,0,"[1, 2, 3, 3, 4, 4, 5, 5, 5, 5]","[3, 4, 4, 4, 4, 4, 4, 4, 5, 5]"
1699235,fabulous,phenomenal,Jan Helms is literally the most fabulous woman I have ever met in my entire life .,Jan Helms is literally the most phenomenal woman I have ever met in my entire life .,0,"[2, 2, 2, 2, 2, 3, 4, 4, 4, 4]","[1, 2, 2, 3, 3, 3, 4, 4, 4]"
2207436,gay,homo,"So obama was a homophobic teen who beat men he thot were gay . And if gay , then a rapist per Rachel #Zimmerman","So obama was a homophobic teen who beat men he thot were homo . And if homo , then a rapist per Rachel #Zimmerman",0,"[2, 3, 3, 3, 3, 4, 4, 4, 5, 5]","[2, 2, 3, 4, 4, 4, 4, 5, 5, 5]"
348025,yummy,tasty,The only good things about bein sick is everyone is extra nice to you and you get yummy food and you can watch soap operas as much as u want,The only good things about bein sick is everyone is extra nice to you and you get tasty food and you can watch soap operas as much as u want,0,"[1, 1, 1, 1, 1, 1, 1, 2, 2, 2]","[1, 1, 1, 1, 1, 2, 2, 2, 2, 3]"
348198,yummy,tasty,So glad I got to hang out with @user tonight :) good show had a lot of fun then got some amazing pizza yummy,So glad I got to hang out with @user tonight :) good show had a lot of fun then got some amazing pizza tasty,0,"[1, 1, 1, 2, 2, 2, 2, 2, 3, 4]","[2, 2, 2, 2, 2, 3, 3, 3, 4, 4]"
2026586,exciting,impressive,"I didn't even really watch Veronica Mars , but this movie is exciting . #SDCC","I didn't even really watch Veronica Mars , but this movie is impressive . #SDCC",0,"[1, 1, 1, 2, 2, 2, 2, 2, 3, 3]","[1, 2, 2, 2, 2, 3, 4, 4, 4, 4]"
420161,amazing,impressive,But I did have such a blast last night ! I have such amazing and hilarious friends !! So glad to have them in my life,But I did have such a blast last night ! I have such impressive and hilarious friends !! So glad to have them in my life,0,"[1, 2, 2, 2, 2, 2, 3, 3, 3, 3]","[1, 1, 2, 2, 2, 3, 3, 3, 3, 3]"
1699262,fabulous,phenomenal,HBD to this sweet girl ! Hope you have a day as fabulous as you are ! I love you ! http://url,HBD to this sweet girl ! Hope you have a day as phenomenal as you are ! I love you ! http://url,0,"[1, 1, 2, 2, 2, 2, 3, 3, 4, 5]","[1, 1, 1, 1, 2, 2, 2, 2, 3, 4]"
2078720,sweetheart,girlfriend,"don't worry sweetheart , I'll be sure to return that knife of yours that you shoved so deep in my back ...","don't worry girlfriend , I'll be sure to return that knife of yours that you shoved so deep in my back ...",0,"[1, 2, 2, 3, 3, 3, 4, 4, 4, 5]","[1, 1, 1, 2, 2, 3, 4, 4, 5, 5]"
1705498,sister,mate,I wish i had a sister,I wish i had a mate,0,"[2, 2, 2, 2, 3, 3, 3, 4, 4, 4]","[1, 2, 3, 3, 3, 4, 4, 4, 5]"
2243120,precious,rare,Life is too precious to waste your time thinking about someone who doesn't treat you right .,Life is too rare to waste your time thinking about someone who doesn't treat you right .,0,"[1, 1, 1, 2, 2, 2, 2, 2, 3, 3]","[1, 1, 2, 2, 2, 3, 3, 3, 4, 4]"
1728706,boyfriends,buddies,#Confession ... I . Check my boyfriends wallll . So I know what ratchet ass bitches be saying to him -.-,#Confession ... I . Check my buddies wallll . So I know what ratchet ass bitches be saying to him -.-,0,"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 2, 4, 4, 5, 5, 5, 5]"
1194426,okay,good,""" I'm reaching puberty "" hahahah okay cam",""" I'm reaching puberty "" hahahah good cam",0,"[3, 3, 4, 4, 4, 4, 5, 5, 5, 5]","[3, 3, 4, 4, 4, 4, 4, 5, 5, 5]"
305698,precious,valuable,Mmmmmm love a summer selfie with these precious people @user @user @user Ranya http://url,Mmmmmm love a summer selfie with these valuable people @user @user @user Ranya http://url,0,"[1, 1, 1, 1, 2, 2, 2, 2, 2]","[1, 2, 2, 2, 2, 2, 2, 2, 3]"
2243101,precious,rare,3rd trimester ! I can't wait to have my little girl in my arms . She's going to be so precious .,3rd trimester ! I can't wait to have my little girl in my arms . She's going to be so rare .,0,"[1, 1, 1, 1, 1, 1, 1, 1, 2, 2]","[1, 1, 1, 1, 1, 1, 1, 3, 3]"
776080,cute,clever,I want a cute relationship ...,I want a clever relationship ...,0,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 2]","[1, 1, 2, 3, 3, 3, 3, 4, 4, 4]"
348031,yummy,tasty,Lunch . #chickfila #fruit #healthy #salad #yummy #tasty #granola #nuts #delicious #summer #love #lunch http://url,Lunch . #chickfila #fruit #healthy #salad #tasty #tasty #granola #nuts #delicious #summer #love #lunch http://url,0,"[1, 1, 1, 1, 2, 2, 2, 2, 2, 3]","[1, 1, 2, 2, 2, 2, 2, 2, 2, 2]"
776078,cute,clever,So who has a cute black dress they wouldn't mind letting me borrow ? :))))))))))),So who has a clever black dress they wouldn't mind letting me borrow ? :))))))))))),0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]"
1046447,wonderful,phenomenal,Happy 21st birthday to my amazing bff @user I love you ! Have a wonderful birthday !!!,Happy 21st birthday to my amazing bff @user I love you ! Have a phenomenal birthday !!!,0,"[1, 1, 1, 1, 2, 2, 2, 2, 2, 3]","[1, 1, 1, 1, 1, 1, 1, 1, 2, 2]"
1046115,wonderful,phenomenal,"HAPPY BIRTHDAY to my Man , @user You're 18 and more suave than ever . Love you lots and have a wonderful day Rickybaby !!!","HAPPY BIRTHDAY to my Man , @user You're 18 and more suave than ever . Love you lots and have a phenomenal day Rickybaby !!!",0,"[1, 1, 1, 1, 1, 1, 1, 1, 4]","[1, 1, 1, 1, 1, 1, 2, 2, 5]"
2078801,sweetheart,girlfriend,Dill is seriously such a sweetheart .,Dill is seriously such a girlfriend .,0,"[1, 1, 1, 1, 1, 1, 2, 2, 2, 2]","[1, 2, 3, 3, 3, 4, 4, 4, 4, 4]"
347936,yummy,tasty,Fresh local strawberries for breakfast ! So tasty ! #rawfood #breakfast #yummy #local #fruit @user Black http://url,Fresh local strawberries for breakfast ! So tasty ! #rawfood #breakfast #tasty #local #fruit @user Black http://url,0,"[1, 1, 1, 1, 2, 2, 2, 2, 3, 3]","[1, 1, 2, 2, 2, 2, 2, 2, 3]"
1046417,wonderful,phenomenal,A wonderful dinner date to end this beautiful Monday on vacation . @user Northfield http://url,A phenomenal dinner date to end this beautiful Monday on vacation . @user Northfield http://url,0,"[1, 1, 1, 2, 2, 2, 3, 3, 3, 3]","[1, 1, 2, 2, 2, 3, 3, 3, 3, 4]"
2243191,precious,rare,how am I supposed to get up and make food with this precious little guy snuggled into me http://url,how am I supposed to get up and make food with this rare little guy snuggled into me http://url,0,"[1, 1, 1, 1, 1, 1, 2, 2, 2, 3]","[1, 1, 1, 1, 2, 2, 2, 3, 3, 3]"
2020339,super,impressive,"Oli Sykes did you mean a perfect , sassy human being that is super right about almost everything ever cuz it's pretty much the same thing","Oli Sykes did you mean a perfect , sassy human being that is impressive right about almost everything ever cuz it's pretty much the same thing",0,"[1, 1, 2, 2, 2, 2, 2, 2, 2, 3]","[1, 1, 2, 2, 2, 2, 2, 3, 4, 4]"
1046283,wonderful,phenomenal,"Happy birthday to the beautiful @user ! I hope you have a wonderful day , you deserve it !! <3","Happy birthday to the beautiful @user ! I hope you have a phenomenal day , you deserve it !! <3",0,"[1, 2, 2, 2, 2, 2, 2, 3, 3, 4]","[1, 1, 1, 1, 2, 2, 2, 3, 3]"
2026560,exciting,impressive,First @user show eva ! What an exciting night for it !!,First @user show eva ! What an impressive night for it !!,0,"[1, 1, 2, 3, 3, 3, 4, 4, 4, 5]","[2, 2, 3, 3, 3, 3, 4, 4, 4, 5]"
1728717,boyfriends,buddies,Every girl I know is with it and makes nice dinners for their boyfriends while I just order pizza and drink beer with mine #sorrybabe,Every girl I know is with it and makes nice dinners for their buddies while I just order pizza and drink beer with mine #sorrybabe,0,"[1, 1, 1, 1, 1, 1, 1, 3, 5, 5]","[1, 1, 1, 1, 4, 5, 5, 5, 5, 5]"
1728755,boyfriends,buddies,my boyfriends gonna be gone till 7 tonight I'm gonna be so lonely .,my buddies gonna be gone till 7 tonight I'm gonna be so lonely .,0,"[1, 1, 1, 1, 1, 1, 1, 2, 2, 3]","[2, 3, 4, 4, 4, 4, 4, 5, 5, 5]"
418813,amazing,impressive,Special K cereal is just so amazing #yum #fruit #yogurt,Special K cereal is just so impressive #yum #fruit #yogurt,0,"[1, 1, 1, 2, 2, 2, 2, 2, 3, 5]","[1, 2, 2, 2, 2, 2, 2, 3, 3, 4]"
2243108,precious,rare,Thank god Michelle came into kroger this morning and let me get my baby fix ! Lilly is precious,Thank god Michelle came into kroger this morning and let me get my baby fix ! Lilly is rare,0,"[1, 1, 1, 1, 1, 1, 1, 1, 2, 2]","[1, 1, 1, 1, 1, 1, 1, 2, 3, 5]"
1729223,fabulous,impressive,"* listening to fabulous from hsm * NEWLINE "" I love this song it's so good "" -lizz","* listening to impressive from hsm * NEWLINE "" I love this song it's so good "" -lizz",0,"[1, 1, 1, 1, 1, 1, 1, 2, 2, 2]","[1, 1, 2, 2, 2, 2, 3, 4, 5]"
1699241,fabulous,phenomenal,Today has been fabulous in the worst town ever .,Today has been phenomenal in the worst town ever .,0,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 4]","[1, 2, 2, 3, 3, 3, 3, 3, 3, 4]"
1728627,boyfriends,buddies,Who needs boyfriends when you can workout,Who needs buddies when you can workout,0,"[1, 1, 1, 1, 1, 1, 1, 1, 2, 2]","[4, 4, 4, 4, 4, 4, 5, 5, 5, 5]"
1699249,fabulous,phenomenal,Have a great day your super fabulous ! @user,Have a great day your super phenomenal ! @user,0,"[1, 2, 2, 2, 2, 2, 2, 2, 2, 3]","[2, 2, 2, 2, 2, 3, 3, 3, 3, 4]"
1518474,connections,links,Planners en mass . Great connections at #Infuse2013 gala ! http://url,Planners en mass . Great links at #Infuse2013 gala ! http://url,0,"[2, 3, 3, 3, 3, 3, 3, 4, 4, 5]","[2, 3, 3, 3, 3, 3, 3, 3, 4]"
348021,yummy,tasty,Drinking a Golden Nugget at Toppling Goliath Brewery . Very yummy !,Drinking a Golden Nugget at Toppling Goliath Brewery . Very tasty !,0,"[1, 1, 2, 2, 2, 2, 3, 3, 4, 4]","[2, 3, 3, 3, 4, 4, 4, 4, 4, 4]"
1728630,boyfriends,buddies,I think I like Luke Hemmings more than I've liked any of my real boyfriends ... Lol,I think I like Luke Hemmings more than I've liked any of my real buddies ... Lol,0,"[1, 1, 1, 1, 1, 1, 1, 1, 2, 2]","[2, 3, 4, 4, 4, 4, 4, 5, 5]"
348196,yummy,tasty,Perks of working in a central American office our clients bring us yummy Salvadoran food for lunch,Perks of working in a central American office our clients bring us tasty Salvadoran food for lunch,0,"[1, 2, 2, 2, 2, 2, 2, 3, 4, 5]","[2, 3, 3, 3, 3, 3, 4, 4, 5, 5]"
2078797,sweetheart,girlfriend,Hung out with this cutie and my sweetheart at lunch today . #butterfly #flowers #nature http://url,Hung out with this cutie and my girlfriend at lunch today . #butterfly #flowers #nature http://url,0,"[1, 1, 1, 1, 1, 1, 2, 2, 2, 2]","[1, 2, 4, 4, 5, 5, 5, 5, 5, 5]"
2026068,wonderful,impressive,I'm so in love it's really strange and really wonderful,I'm so in love it's really strange and really impressive,0,"[1, 1, 2, 2, 2, 2, 3, 3, 3, 3]","[1, 2, 2, 2, 2, 2, 2, 3, 3, 3]"
347995,yummy,tasty,"Late night yummy in our tummies ! These kids are fire starting , burning with the love of Jesus world http://url","Late night tasty in our tummies ! These kids are fire starting , burning with the love of Jesus world http://url",0,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 3]","[1, 1, 1, 2, 2, 2, 3, 3, 4]"
1728771,boyfriends,buddies,Glad all of my roommates have boyfriends . That's awesome,Glad all of my roommates have buddies . That's awesome,0,"[1, 1, 1, 1, 1, 1, 1, 1, 2, 3]","[2, 2, 2, 3, 4, 4, 4, 4, 5]"
348075,yummy,tasty,Bomb !!! PhillyRolls great lunch while shopping ! #Sushi #yummy @user Westfield Garden State Plaza http://url,Bomb !!! PhillyRolls great lunch while shopping ! #Sushi #tasty @user Westfield Garden State Plaza http://url,0,"[1, 1, 2, 2, 3, 3, 3, 4, 4, 5]","[1, 2, 2, 2, 3, 4, 4, 4, 4]"
2026034,wonderful,impressive,Going to a Waffle House right now would be wonderful,Going to a Waffle House right now would be impressive,0,"[2, 3, 3, 3, 3, 3, 4, 4, 4, 4]","[2, 2, 3, 3, 3, 4, 4, 4, 5]"
2026579,exciting,impressive,"On an exciting note , TDOT in 1 week and 3 days","On an impressive note , TDOT in 1 week and 3 days",0,"[2, 2, 3, 3, 3, 3, 3, 3, 4, 4]","[3, 3, 3, 3, 3, 4, 4, 4, 4, 4]"
1620718,peaceful,smooth,Finally a peaceful nights rest !,Finally a smooth nights rest !,0,"[2, 3, 3, 3, 3, 4, 4, 4, 5]","[2, 2, 3, 3, 3, 3, 4, 4, 5]"
1729225,fabulous,impressive,Eating healthy sucks . But the pay off is fabulous .,Eating healthy sucks . But the pay off is impressive .,0,"[1, 1, 1, 2, 2, 2, 2, 3, 3, 4]","[1, 2, 2, 2, 2, 3, 3, 3, 4, 5]"
348041,yummy,tasty,Getting yummy crab legs !!,Getting tasty crab legs !!,0,"[1, 2, 2, 2, 2, 2, 2, 3, 3, 3]","[2, 3, 3, 3, 3, 3, 3, 3, 4, 4]"
2020095,super,impressive,I wish I was super pretty & photogenic,I wish I was impressive pretty & photogenic,0,"[1, 1, 1, 1, 1, 1, 1, 1, 2, 4]","[1, 1, 1, 1, 1, 1, 2, 2, 2, 4]"
2026061,wonderful,impressive,Having butterflies is a wonderful and torturous thing #thestruggle,Having butterflies is a impressive and torturous thing #thestruggle,0,"[1, 2, 2, 2, 2, 2, 3, 3, 3, 4]","[1, 1, 1, 2, 2, 2, 2, 2, 3]"
1729139,fabulous,impressive,Happy birthday to the ever-fabulous @user !,Happy birthday to the ever-impressive @user !,0,"[1, 1, 1, 1, 2, 2, 2, 2, 2, 2]","[1, 1, 2, 2, 3, 3, 3, 3, 3, 3]"
1699204,fabulous,phenomenal,My fabulous coffee cup http://url,My phenomenal coffee cup http://url,0,"[1, 1, 1, 2, 2, 2, 2, 2, 2, 3]","[1, 2, 2, 2, 2, 2, 3, 3, 4, 5]"
2456538,bed,crib,back to bed for an hour .,back to crib for an hour .,0,"[2, 2, 3, 3, 3, 3, 4, 5, 5, 5]","[2, 3, 3, 4, 4, 5, 5, 5, 5, 5]"
2026129,wonderful,impressive,This is seriously wonderful .,This is seriously impressive .,0,"[2, 2, 2, 2, 2, 3, 3, 3, 3, 3]","[2, 3, 3, 3, 3, 3, 4, 4, 4]"
348096,yummy,tasty,Jaws of life ! #firefighter #health #yummy @user Firehouse Sports Grill http://url,Jaws of life ! #firefighter #health #tasty @user Firehouse Sports Grill http://url,0,"[1, 2, 2, 3, 3, 4, 4, 4, 4, 5]","[2, 3, 4, 4, 4, 4, 4, 4, 4, 5]"
1729138,fabulous,impressive,my turtle rn NEWLINE b*tch i'm fabulous http://url,my turtle rn NEWLINE b*tch i'm impressive http://url,0,"[1, 2, 2, 2, 2, 2, 2, 2, 4, 5]","[1, 2, 2, 2, 2, 3, 4, 4, 4]"
1729228,fabulous,impressive,I can't wait for tequilas tonight ! There margs should be fabulous !,I can't wait for tequilas tonight ! There margs should be impressive !,0,"[1, 1, 1, 1, 2, 2, 2, 2, 3, 3]","[1, 2, 2, 2, 2, 3, 3, 3, 4, 5]"
1515841,cute,super,You know MaGruff always tells you great safety tips !!! #love #instagood #me #cute #tbt #photooftheday http://url,You know MaGruff always tells you great safety tips !!! #love #instagood #me #super #tbt #photooftheday http://url,1,"[1, 1, 1, 2, 2, 2, 3, 3, 3, 4]","[1, 2, 3, 3, 3, 3, 4, 4, 4, 4]"
775676,cute,clever,"444- you're really cute and I like your style , you seem chill af and hopefully we get to kick it soon in Cali","444- you're really clever and I like your style , you seem chill af and hopefully we get to kick it soon in Cali",1,"[1, 2, 2, 3, 4, 4, 4, 4, 5, 5]","[2, 2, 3, 3, 4, 4, 4, 4, 4, 5]"
1518444,connections,links,"I love that my alma mater of 35 , 000 students still manages to feel small because of all the connections within the university #ncsu","I love that my alma mater of 35 , 000 students still manages to feel small because of all the links within the university #ncsu",1,"[1, 3, 3, 3, 3, 3, 4, 4, 4, 4]","[2, 3, 3, 3, 3, 4, 4, 4, 5]"
2206925,gay,homo,I'm a victim smdh @user : Y'all niggas gotta stop letting ya homeboys tweet gay shit on ya phone,I'm a victim smdh @user : Y'all niggas gotta stop letting ya homeboys tweet homo shit on ya phone,1,"[3, 4, 5, 5, 5, 5, 5, 5, 5, 5]","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
2206784,gay,homo,WTF ? Are u gay ? @user : Bitch you look like a WNBA Dyke,WTF ? Are u homo ? @user : Bitch you look like a WNBA Dyke,1,"[1, 2, 2, 5, 5, 5, 5, 5, 5, 5]","[3, 4, 4, 5, 5, 5, 5, 5, 5, 5]"
2454604,bed,crib,well friends I will be headed to bed about 9 p.m. Tonight sweet dreams I will talk to you when I wake up in the morning goodnight everyone,well friends I will be headed to crib about 9 p.m. Tonight sweet dreams I will talk to you when I wake up in the morning goodnight everyone,1,"[1, 1, 1, 2, 2, 2, 3, 3, 3, 4]","[1, 2, 2, 2, 2, 3, 4, 4, 5]"
1312049,okay,good,005 : I've known you for ever we've been friends for so long ! But we haven't hung out all summer ): we need to soon okay ?,005 : I've known you for ever we've been friends for so long ! But we haven't hung out all summer ): we need to soon good ?,1,"[1, 1, 2, 2, 2, 2, 3, 3, 3, 3]","[1, 1, 1, 2, 3, 3, 3, 3, 3, 4]"
1951442,crazy,incredible,"Incredible , crazy coincidence !! :)","Incredible , incredible coincidence !! :)",1,"[2, 2, 2, 2, 3, 3, 3, 3, 3, 4]","[2, 2, 3, 3, 3, 4, 4, 4, 4, 5]"
2371241,awkward,weird,An this is when group chats get awkward,An this is when group chats get weird,1,"[2, 3, 3, 3, 3, 4, 4, 4, 4, 5]","[1, 2, 2, 3, 3, 3, 4, 4, 4, 4]"
417979,amazing,impressive,NEVER MAKING LUNCH AGAIN #love #TagsForLikes #TFLers #tweegram #photooftheday #20likes #amazing http://url,NEVER MAKING LUNCH AGAIN #love #TagsForLikes #TFLers #tweegram #photooftheday #20likes #impressive http://url,1,"[1, 2, 2, 2, 2, 2, 3, 3, 3, 5]","[1, 1, 2, 2, 2, 2, 2, 3, 3, 4]"
1534629,lovely,super,High on a hill sat a lovely Happy Hans and his strapping son Erik - yodel-le-he-who ! #LimitedTimeMagic http://url,High on a hill sat a super Happy Hans and his strapping son Erik - yodel-le-he-who ! #LimitedTimeMagic http://url,1,"[2, 2, 3, 3, 3, 3, 3, 4, 4, 5]","[1, 2, 2, 2, 2, 3, 3, 4, 4, 5]"
1926059,excited,awesome,"69 : you would choose that number , but you're prob my fave swimmer . As we're hella good at recruiting . And be excited for our new managers","69 : you would choose that number , but you're prob my fave swimmer . As we're hella good at recruiting . And be awesome for our new managers",1,"[2, 3, 3, 3, 4, 4, 4, 4, 5, 5]","[2, 2, 3, 3, 3, 3, 4, 4, 4]"
1518454,connections,links,Crazy the connections we got .,Crazy the links we got .,1,"[2, 3, 3, 3, 4, 4, 4, 4, 5, 5]","[3, 3, 3, 3, 4, 4, 4, 4, 4, 5]"
2019347,super,impressive,The greatest game in the world hands down is super smash or Nintendo 64,The greatest game in the world hands down is impressive smash or Nintendo 64,1,"[3, 4, 4, 4, 4, 5, 5, 5, 5, 5]","[4, 4, 4, 4, 5, 5, 5, 5, 5, 5]"
1515888,cute,super,Aubrey Plaza is so cute,Aubrey Plaza is so super,1,"[1, 2, 3, 3, 4, 4, 4, 4, 4, 5]","[1, 2, 2, 2, 2, 3, 4, 4, 4]"
778260,pals,homies,"All our old pals were at the Archaia , boom party ! @user wish u were there ! I wanna see ya","All our old homies were at the Archaia , boom party ! @user wish u were there ! I wanna see ya",1,"[1, 2, 3, 3, 3, 3, 4, 4, 5, 5]","[2, 3, 3, 4, 4, 4, 5, 5, 5, 5]"
1312289,okay,good,Well damn ... okay then .,Well damn ... good then .,1,"[3, 4, 4, 4, 4, 4, 4, 5, 5]","[3, 3, 3, 3, 4, 4, 4, 4, 4]"
2025819,wonderful,impressive,so many wonderful things in this photo that im at a loss for words . And so is she ( if she knows what good for her ) . http://url,so many impressive things in this photo that im at a loss for words . And so is she ( if she knows what good for her ) . http://url,1,"[2, 2, 2, 2, 3, 3, 4, 4, 4, 4]","[1, 2, 2, 3, 3, 4, 4, 4, 5]"
1045950,wonderful,phenomenal,It's been a wonderful two weeks in the center of the world ! But nothing beats being back in the http://url,It's been a phenomenal two weeks in the center of the world ! But nothing beats being back in the http://url,1,"[2, 2, 3, 3, 3, 3, 3, 4, 4, 4]","[1, 2, 3, 3, 3, 4, 4, 4, 4, 4]"
