id,source,target,src_sentence,tar_sentence,true_y,src_ratings,tar_ratings
113051,famous,renowned,"The famous Sunset Strip is close by, and the Hollywood Walk of Fame, Runyon Canyon hikes, restaurants, groceries and shopping are all within easy walking distance  (including Hollywood Blvd., Sunset Blvd., Santa Monica Blvd.","The renowned Sunset Strip is close by, and the Hollywood Walk of Fame, Runyon Canyon hikes, restaurants, groceries and shopping are all within easy walking distance  (including Hollywood Blvd., Sunset Blvd., Santa Monica Blvd.",0,"[3, 4, 4, 5, 5, 5, 5, 5, 5, 5]","[4, 4, 4, 4, 4, 5, 5, 5, 5]"
258402,rapidly,quickly,"Its gentrifying rapidly- so new things popping up all the time- and it is very convenient in terms of transport access whether by car, bike, on foot, or public transport.","Its gentrifying quickly- so new things popping up all the time- and it is very convenient in terms of transport access whether by car, bike, on foot, or public transport.",0,"[3, 3, 3, 4, 4, 4, 4, 4, 4, 5]","[2, 3, 4, 4, 4, 4, 5, 5, 5, 5]"
1375942,nice,gorgeous,We know all of our neighbors and they are very nice so please be courteous to them too as you walk down the street to the quarter.,We know all of our neighbors and they are very gorgeous so please be courteous to them too as you walk down the street to the quarter.,0,"[3, 3, 3, 4, 4, 4, 5, 5, 5]","[2, 2, 3, 3, 4, 4, 4, 5]"
323914,exciting,interesting,"The neighborhood is great because its safe, fun, exciting, and everything is at your door.","The neighborhood is great because its safe, fun, interesting, and everything is at your door.",0,"[2, 4, 4, 4, 4, 4, 5, 5, 5, 5]","[3, 4, 5, 5, 5, 5, 5, 5]"
323950,exciting,interesting,"I don't suggest long walks after dark, but I would definitely not let this neighborhood discourage your stay, it's vibrant, fun and exciting. ","I don't suggest long walks after dark, but I would definitely not let this neighborhood discourage your stay, it's vibrant, fun and interesting. ",0,"[1, 1, 2, 2, 2, 2, 2, 2, 3, 3, 4]","[1, 1, 2, 2, 2, 2, 2, 3, 4]"
1149708,apartment,condo,If you prefer to enjoy night life then you' ll like the location even more as every famous club and bar in Hollywood is located in walking distance from the apartment.,If you prefer to enjoy night life then you' ll like the location even more as every famous club and bar in Hollywood is located in walking distance from the condo.,0,"[4, 4, 4, 4, 4, 4, 5, 5, 5, 5]","[2, 4, 4, 4, 4, 5, 5, 5, 5]"
537527,predominantly,especially,"Despite the recent hipster invasion, Highland Park is still a predominantly Latino neighborhood.","Despite the recent hipster invasion, Highland Park is still a especially Latino neighborhood.",0,"[1, 1, 3, 3, 3, 3, 3, 3, 3, 4]","[1, 2, 3, 3, 3, 3, 3, 3, 4, 5]"
635932,exciting,spectacular,Hollywood  is a vibrant and exciting area of Los Angeles.,Hollywood  is a vibrant and spectacular area of Los Angeles.,0,"[2, 2, 3, 4, 4, 4, 4, 5, 5]","[3, 4, 4, 4, 5, 5, 5, 5]"
1337989,open,outstanding,"This tree-lined, brownstone neighborhood is known for its fine dining, art galleries, the open market, and smiling faces.","This tree-lined, brownstone neighborhood is known for its fine dining, art galleries, the outstanding market, and smiling faces.",0,"[3, 4, 4, 4, 5, 5, 5, 5, 5]","[4, 4, 4, 5, 5, 5, 5, 5, 5, 5]"
448352,huge,spectacular,"Street car connect to the Central Business District (CBD), and other street car lines such as Loyola St., St. Charles Ave., and Canal St. Shaded backyard with huge Pecan tree.","Street car connect to the Central Business District (CBD), and other street car lines such as Loyola St., St. Charles Ave., and Canal St. Shaded backyard with spectacular Pecan tree.",0,"[3, 4, 4, 4, 4, 4, 5, 5]","[3, 3, 4, 4, 4, 5, 5, 5, 5]"
448383,huge,spectacular,"Los Angeles is a huge sprawling city, but my neighborhood is centrally located so there are fantastic alternate routes to the freeway when it is crowded. ","Los Angeles is a spectacular sprawling city, but my neighborhood is centrally located so there are fantastic alternate routes to the freeway when it is crowded. ",0,"[3, 4, 4, 4, 4, 4, 5, 5, 5]","[3, 3, 4, 4, 4, 4, 5]"
787289,exciting,fabulous,"Gorgeous, safe and close to everything fun and exciting.","Gorgeous, safe and close to everything fun and fabulous.",0,"[3, 4, 4, 4, 5, 5, 5, 5, 5]","[4, 4, 5, 5, 5, 5, 5, 5, 5, 5]"
193589,amazing,incredible,"Everything is close by whether it's amazing restaurants ( Hungry Cat, Katsuya, Kabuki + more ), local attractions ( Walk of Fame, Hollywood Sign, Universal Studios, Pantages Theatre, Runyon Canyon...) the top nightclubs, handy grocery shopping ( Trader Joes, Walgreens literally downstairs...Farmers Market every Sunday ).","Everything is close by whether it's incredible restaurants ( Hungry Cat, Katsuya, Kabuki + more ), local attractions ( Walk of Fame, Hollywood Sign, Universal Studios, Pantages Theatre, Runyon Canyon...) the top nightclubs, handy grocery shopping ( Trader Joes, Walgreens literally downstairs...Farmers Market every Sunday )",0,"[3, 4, 4, 4, 4, 5, 5, 5, 5, 5]","[4, 4, 4, 5, 5, 5, 5, 5]"
295558,amazing,fabulous,"The neighborhood is amazing as righ next to the unit is the uber popular Mondrian Hotel next to the swank Hemmingbone restaurant, Katana Restaurant and Oliver's Steak House as well as the Tower Bar.","The neighborhood is fabulous as righ next to the unit is the uber popular Mondrian Hotel next to the swank Hemmingbone restaurant, Katana Restaurant and Oliver's Steak House as well as the Tower Bar.",0,"[2, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5]","[4, 4, 5, 5, 5, 5, 5, 5, 5]"
1167574,amazing,outstanding,"Walking distance to all tourist attractions, amazing restaurants, hiking, dining, movies, studios, supermarkets and hollywood walk of fame.","Walking distance to all tourist attractions, outstanding restaurants, hiking, dining, movies, studios, supermarkets and hollywood walk of fame.",0,"[4, 4, 5, 5, 5, 5, 5, 5, 5]","[4, 4, 4, 4, 5, 5, 5, 5, 5, 5]"
1444493,amazing,spectacular,"From amazing restaurants to the Walk of Fame, Dolby Theater, Chinese Theater, Hollywood and Highland Shopping mall, cafes, Runyon Canyon, Hollywood Sign, Griffith Park and more!","From spectacular restaurants to the Walk of Fame, Dolby Theater, Chinese Theater, Hollywood and Highland Shopping mall, cafes, Runyon Canyon, Hollywood Sign, Griffith Park and more!",0,"[2, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5]","[4, 4, 4, 5, 5, 5, 5, 5, 5]"
430491,amazing,wonderful,"Walking distance to all tourist attractions, amazing restaurants, hiking, dining, movies, studios, supermarkets and hollywood walk of fame.","Walking distance to all tourist attractions, wonderful restaurants, hiking, dining, movies, studios, supermarkets and hollywood walk of fame.",0,"[4, 4, 5, 5, 5, 5, 5, 5]","[4, 5, 5, 5, 5, 5, 5, 5, 5]"
118358,amazing,fantastic,"Little Tokyo also has amazing food, we recommend Marugame Monzo's beef Udon, Daikokuya's shredded pork bowl, Shabu shabu house...","Little Tokyo also has fantastic food, we recommend Marugame Monzo's beef Udon, Daikokuya's shredded pork bowl, Shabu shabu house...",0,"[3, 4, 4, 4, 4, 5, 5, 5]","[4, 4, 4, 5, 5, 5, 5, 5, 5]"
711416,events,festivals,"The scene is densely packed into 1.9 walkable square miles, including a vast culinary landscape, The Sunset Strip’s notorious nightlife, designer flagships lining The West Hollywood Design District, celebrity hot spots, global annual events, premier spas and fitness, entertainment and much more.","The scene is densely packed into 1.9 walkable square miles, including a vast culinary landscape, The Sunset Strip’s notorious nightlife, designer flagships lining The West Hollywood Design District, celebrity hot spots, global annual festivals, premier spas and fitness, entertainment and much more.",0,"[4, 4, 4, 5, 5, 5, 5, 5, 5]","[2, 2, 4, 4, 5, 5, 5]"
180477,cheap,inexpensive,"We're a mile or so to great bars (Bacchanal, Vaughan's, BJ's), coffee shops (Solo, Satsuma), and cheap eats (Sneaky Pickle, Pizza Delicious, The Joint); as well as the art and music venues of St. Claude Avenue.","We're a mile or so to great bars (Bacchanal, Vaughan's, BJ's), coffee shops (Solo, Satsuma), and inexpensive eats (Sneaky Pickle, Pizza Delicious, The Joint); as well as the art and music venues of St. Claude Avenue.",0,"[4, 4, 4, 4, 4, 5, 5, 5, 5, 5]","[4, 4, 4, 4, 4, 5, 5, 5, 5, 5]"
180520,cheap,inexpensive,"If you want great (and cheap) tacos, just walk about three minutes towards Oxnard St. to San Marcos.","If you want great (and inexpensive) tacos, just walk about three minutes towards Oxnard St. to San Marcos.",0,"[2, 2, 3, 4, 4, 4, 4, 4, 5, 5]","[3, 4, 4, 4, 4, 5, 5, 5]"
1504650,hot,excellent,"From a stellar location that connects you with the top Hollywood hot spots to onsite retail that brings style and convenience home, a new experience can be found around every corner.","From a stellar location that connects you with the top Hollywood excellent spots to onsite retail that brings style and convenience home, a new experience can be found around every corner.",0,"[2, 3, 4, 4, 4, 5, 5, 5, 5]","[4, 4, 4, 4, 5, 5, 5, 5, 5, 5]"
1504557,hot,excellent,Condo row is a great area and strip Friendly Safe and easy access to so many places freeways and hot spots in the Valley and Los Angeles.,Condo row is a great area and strip Friendly Safe and easy access to so many places freeways and excellent spots in the Valley and Los Angeles.,0,"[2, 3, 3, 3, 3, 4, 4, 4, 5, 5]","[4, 4, 4, 4, 4, 5, 5, 5]"
183467,comfortable,cozy,"The apartment has a nice, peaceful, relaxing vibe, its very simple only comfortable furniture.. (You are most welcome here:) Lastly, 1 to 4 ","The apartment has a nice, peaceful, relaxing vibe, its very simple only cozy furniture.. (You are most welcome here:) Lastly, 1 to 4 ",0,"[2, 3, 3, 4, 4, 4, 5, 5, 5]","[2, 3, 3, 4, 4, 5, 5]"
485243,yummy,good,"It's walking distance to jazz fest, the quarter and quite a few yummy restaurants, cafe's and bars including the Mother in Law Lounge, Candelight Lounge, P(website hidden) Cafe, Lola's, City Park and more.","It's walking distance to jazz fest, the quarter and quite a few good restaurants, cafe's and bars including the Mother in Law Lounge, Candelight Lounge, P(website hidden) Cafe, Lola's, City Park and more.",0,"[4, 4, 4, 5, 5, 5, 5, 5, 5]","[4, 4, 4, 5, 5, 5, 5, 5, 5, 5]"
485248,yummy,good,"Some of my favorites are Heavy Feather(great drinks and decor), Best Intentions(nice local bar), Scofflaw (recently named the Best Bar in Chicago).Right down the street(at Central Park and Belden) Wyler Road(great drinks, yummy food, nice bartenders).","Some of my favorites are Heavy Feather(great drinks and decor), Best Intentions(nice local bar), Scofflaw (recently named the Best Bar in Chicago).Right down the street(at Central Park and Belden) Wyler Road(great drinks, good food, nice bartenders).",0,"[3, 3, 3, 3, 4, 4, 4, 5, 5]","[2, 4, 4, 4, 5, 5, 5, 5]"
1435094,trips,tours,"Our house has easy freeway access (to the 5, 10, and 110 fwys, which are each just a 5-minute drive away) for trips to the beach, amusement parks, etc.","Our house has easy freeway access (to the 5, 10, and 110 fwys, which are each just a 5-minute drive away) for tours to the beach, amusement parks, etc.",0,"[3, 4, 4, 4, 4, 4, 5, 5, 5]","[3, 4, 4, 4, 4, 5, 5, 5]"
115420,various,several,"Whole Foods, Trader Joe's, Pavilions & Gelson's markets are all close by as well as various farmers' markets all within a few minutes drive or some within a short stroll.","Whole Foods, Trader Joe's, Pavilions & Gelson's markets are all close by as well as several farmers' markets all within a few minutes drive or some within a short stroll.",0,"[3, 4, 4, 4, 4, 4, 5, 5, 5]","[4, 4, 5, 5, 5, 5, 5, 5, 5, 5]"
152181,predominantly,mostly,"The neighborhood has grown into a predominantly single family residential area adjacent to an urban corridor, El Cajon Boulevard, with scattered amenities in walking distance including a variety of small restaurants/eateries, juice bar, coffee shops, wine bars, beer bars, laundromat, and dry cleaner/seamstress, Thai massage, Moxie Theater.","The neighborhood has grown into a mostly single family residential area adjacent to an urban corridor, El Cajon Boulevard, with scattered amenities in walking distance including a variety of small restaurants/eateries, juice bar, coffee shops, wine bars, beer bars, laundromat, and dry cleaner/seamstress, Thai massage, Moxie Theater.",0,"[2, 3, 3, 3, 3, 4, 4, 4, 4, 4]","[4, 4, 5, 5, 5, 5, 5, 5]"
537531,predominantly,especially,"Despite the recent white hipster invasion, Highland Park is still a predominantly Latino neighborhood -- and happily, it's also home to the best Mexican food in the city.","Despite the recent white hipster invasion, Highland Park is still a especially Latino neighborhood -- and happily, it's also home to the best Mexican food in the city.",0,"[2, 3, 4, 4, 4, 4, 4, 4]","[1, 2, 3, 3, 3, 4, 4, 4, 4]"
272118,yummy,delicious,"It's walking distance to jazz fest, the quarter and quite a few yummy restaurants, cafe's and bars including the Mother in Law Lounge, Candelight Lounge, P(SENSITIVE CONTENTS HIDDEN) Cafe, Lola's, l'il Dizzy's, City Park and more.","It's walking distance to jazz fest, the quarter and quite a few delicious restaurants, cafe's and bars including the Mother in Law Lounge, Candelight Lounge, P(SENSITIVE CONTENTS HIDDEN) Cafe, Lola's, l'il Dizzy's, City Park and more.",0,"[4, 4, 4, 5, 5, 5, 5, 5]","[4, 4, 4, 4, 4, 5, 5, 5, 5]"
426941,apartments,homes,"Walk to work, shopping, dining, nightlife...step outside your door and it's all waiting for you right outside the doorstep of our apartments in Hollywood, CA.","Walk to work, shopping, dining, nightlife...step outside your door and it's all waiting for you right outside the doorstep of our homes in Hollywood, CA.",0,"[4, 4, 5, 5, 5, 5, 5, 5, 5]","[4, 4, 4, 4, 5, 5, 5, 5, 5, 5]"
392693,dynamic,vibrant,"If you haven’t been introduced to the neighborhood, this is a great way to discover Highland Park's as well as the rest of North East LA's unique dynamic and eclectic mix of restaurants, art galleries, vintage shops, record stores, home boutiques, bars, and plenty local curiosities.","If you haven’t been introduced to the neighborhood, this is a great way to discover Highland Park's as well as the rest of North East LA's unique vibrant and eclectic mix of restaurants, art galleries, vintage shops, record stores, home boutiques, bars, and plenty local curiosities.",0,"[4, 4, 4, 5, 5, 5, 5, 5, 5, 5]","[4, 4, 4, 5, 5, 5, 5, 5, 5]"
180484,cheap,inexpensive,"• Located at the edge of West Hollywood and Beverly Hills • SUPER safe, cozy, and quiet yet still hip, fun, and LA • Walking distance to several malls, boutiques, and shops • Close to an unlimited amount of restaurants (cheap & pricey) ","• Located at the edge of West Hollywood and Beverly Hills • SUPER safe, cozy, and quiet yet still hip, fun, and LA • Walking distance to several malls, boutiques, and shops • Close to an unlimited amount of restaurants (inexpensive & pricey) ",0,"[4, 4, 4, 4, 4, 5, 5, 5, 5, 5]","[5, 5, 5, 5, 5, 5, 5, 5]"
1177614,notable,unique,"Perched on bluffs above the Los Angeles River, it was originally home to some of the city's most notable residents, who built a large number of Victorian homes still present in the district.","Perched on bluffs above the Los Angeles River, it was originally home to some of the city's most unique residents, who built a large number of Victorian homes still present in the district.",0,"[4, 4, 4, 4, 4, 4, 5, 5, 5]","[3, 4, 4, 4, 4, 5, 5, 5]"
1177613,notable,unique,"The neighborhood features notable historical landmarks that include the 1836 Clarke House, one of Chicago’s oldest residences; a diverse dining scene; blues clubs and other nightlife options; and the convenience of the Museum Campus and Loop and McCormick Place a short stroll away.","The neighborhood features unique historical landmarks that include the 1836 Clarke House, one of Chicago’s oldest residences; a diverse dining scene; blues clubs and other nightlife options; and the convenience of the Museum Campus and Loop and McCormick Place a short stroll away.",0,"[1, 4, 4, 4, 4, 4, 5, 5, 5]","[4, 4, 5, 5, 5, 5, 5, 5]"
1477321,famous,wonderful,"The Mansion is situated mere steps from the hub of the New Orleans music scene, including the famous Spotted Cat, Cafe Negril, Shug Harbor coffeehouse and many New Orleans restaurants.","The Mansion is situated mere steps from the hub of the New Orleans music scene, including the wonderful Spotted Cat, Cafe Negril, Shug Harbor coffeehouse and many New Orleans restaurants.",1,"[4, 4, 5, 5, 5, 5, 5, 5, 5]","[4, 4, 4, 5, 5, 5, 5]"
1478025,famous,wonderful,The Colony is across the street is home to  many of the most famous celebrities.,The Colony is across the street is home to  many of the most wonderful celebrities.,1,"[3, 3, 4, 4, 4, 4, 4, 5, 5]","[2, 3, 3, 4, 4, 4, 4, 4, 5, 5]"
186073,store,boutique,"So much is within a 5-minute walk: plenty of restaurants & bars, coffee shops, gyms, and a drug store a block away that's open until midnight if you need anything.","So much is within a 5-minute walk: plenty of restaurants & bars, coffee shops, gyms, and a drug boutique a block away that's open until midnight if you need anything.",1,"[4, 4, 4, 5, 5, 5, 5, 5, 5]","[4, 4, 4, 5, 5, 5, 5, 5, 5]"
185686,store,boutique,Walk to Gelson's grocery store.,Walk to Gelson's grocery boutique.,1,"[2, 2, 3, 3, 3, 3, 4, 4]","[3, 3, 3, 3, 3, 3, 3, 4, 5]"
871538,famous,grand,"It's also a music mecca with the famous Green Mill jazz tavern where Al Capone used to hang out only 5 blocks from me, plus other grand theaters and music halls which play host to larger touring acts.","It's also a music mecca with the grand Green Mill jazz tavern where Al Capone used to hang out only 5 blocks from me, plus other grand theaters and music halls which play host to larger touring acts.",1,"[1, 2, 3, 4, 4, 5, 5, 5, 5, 5]","[3, 4, 4, 4, 4, 4, 4, 5, 5]"
715576,famous,excellent,"-Restaurants: Gjelina, Gjusta bakery, Cafe Gratitude, Tasting Kitchen, Saltair, Hal's, Lilly's, Primitivo, Other Room, Abbot's Pizza, Chaya Venice, James Beach (famous fish tacos!","-Restaurants: Gjelina, Gjusta bakery, Cafe Gratitude, Tasting Kitchen, Saltair, Hal's, Lilly's, Primitivo, Other Room, Abbot's Pizza, Chaya Venice, James Beach (excellent fish tacos!",1,"[3, 4, 4, 4, 4, 4, 5, 5]","[3, 4, 4, 4, 4, 4, 5, 5, 5]"
714331,famous,excellent,About a 10 minute walk to the famous Venice sign.,About a 10 minute walk to the excellent Venice sign.,1,"[2, 3, 3, 3, 4, 4, 4, 4, 4, 5]","[3, 3, 3, 3, 4, 4, 4, 4, 4, 5]"
1030318,famous,big,We are right on the border of the famous Fillmore district with Pacific Heights.,We are right on the border of the big Fillmore district with Pacific Heights.,1,"[3, 3, 3, 4, 4, 4, 4, 4, 4]","[3, 3, 3, 3, 3, 3, 3, 4, 5]"
1029284,famous,big,"The famous original Venice Coffee house, Groundworks is around the corner and Whole Fo","The big original Venice Coffee house, Groundworks is around the corner and Whole Fo",1,"[3, 3, 4, 4, 4, 4, 4, 4, 4, 5]","[3, 4, 4, 4, 4, 4, 4, 5, 5]"
934237,famous,old,"a historic landmark Victorian homes , within 1 block from famous painted ladies.","a historic landmark Victorian homes , within 1 block from old painted ladies.",1,"[3, 3, 4, 4, 4, 4, 4, 5]","[3, 3, 3, 4, 4, 4, 5, 5, 5]"
934455,famous,old,"Best location in Los Angeles area, because close to LAX, public transportations, world- famous beach, restaurants and shops.","Best location in Los Angeles area, because close to LAX, public transportations, world- old beach, restaurants and shops.",1,"[1, 4, 4, 5, 5, 5, 5, 5, 5]","[4, 4, 4, 4, 5, 5, 5, 5, 5, 5]"
72955,best,nicest,"Potrero Hill has the best weather, best views and best street parking in all of San Francisco, but is also very convenient (4 min drive) to 101 and 280 highway entrances.","Potrero Hill has the nicest weather, nicest views and nicest street parking in all of San Francisco, but is also very convenient (4 min drive) to 101 and 280 highway entrances.",1,"[4, 4, 4, 4, 5, 5, 5, 5, 5]","[2, 4, 4, 4, 4, 5, 5]"
74917,best,nicest,"Besides Hawaii this might be one of the best, most relaxing places on earth.","Besides Hawaii this might be one of the nicest, most relaxing places on earth.",1,"[1, 4, 4, 5, 5, 5, 5, 5, 5]","[4, 4, 5, 5, 5, 5, 5, 5, 5, 5]"
1333826,famous,special,"Located just 15 minutes north of DTLA, Pasadena is home of the Rose Bowl, famous for its football games and flea markets.","Located just 15 minutes north of DTLA, Pasadena is home of the Rose Bowl, special for its football games and flea markets.",1,"[2, 3, 4, 4, 4, 4, 4, 4, 4, 4]","[3, 4, 4, 4, 4, 4, 4, 5, 5, 5]"
1333184,famous,special,"The cottage is walkably close to the beach the famous OB Pier -- or a few short miles to Pacific Beach (PB), Mission Beach (MB), Mission Bay, Sea World, Old Town, Downtown, Zoo, and Balboa Park. ","The cottage is walkably close to the beach the special OB Pier -- or a few short miles to Pacific Beach (PB), Mission Beach (MB), Mission Bay, Sea World, Old Town, Downtown, Zoo, and Balboa Park. ",1,"[4, 4, 4, 5, 5, 5, 5, 5, 5]","[4, 4, 4, 4, 5, 5, 5, 5]"
621798,square,plaza,Noble square is located on the West Side of Chicago.,Noble plaza is located on the West Side of Chicago.,1,"[2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 3, 3, 3, 3, 3, 3, 4, 5]"
622076,square,plaza,square for fun and lots of activities.,plaza for fun and lots of activities.,1,"[1, 2, 3, 4, 4, 4, 4, 4, 5, 5]","[3, 4, 4, 4, 4, 4, 4, 4, 5]"
110482,famous,renowned,The world-famous San Diego Zoo is only an 18-minute drive away.,The world-renowned San Diego Zoo is only an 18-minute drive away.,1,"[3, 3, 3, 4, 4, 4, 4, 5, 5]","[3, 3, 3, 4, 4, 4, 4, 4, 5, 5]"
112269,famous,renowned,"From your doorstep, you can walk, swim, bike, grab a surf lesson, cycle or roller-blade on the famous Santa Monica bike path.","From your doorstep, you can walk, swim, bike, grab a surf lesson, cycle or roller-blade on the renowned Santa Monica bike path.",1,"[4, 4, 5, 5, 5, 5, 5, 5, 5]","[4, 4, 4, 5, 5, 5, 5, 5, 5, 5]"
258372,rapidly,quickly,It is indeed a last of a dying breed in a rapidly changing city.,It is indeed a last of a dying breed in a quickly changing city.,1,"[1, 1, 2, 3, 3, 3, 3, 3, 3, 4, 4]","[3, 3, 3, 3, 4, 4, 4, 5, 5]"
258363,rapidly,quickly,"Avondale is quickly following Logan Square's popularity with new restaurants, bars, and other attractions opening up rapidly.","Avondale is quickly following Logan Square's popularity with new restaurants, bars, and other attractions opening up quickly.",1,"[4, 4, 4, 4, 5, 5, 5, 5, 5]","[4, 4, 4, 4, 4, 4, 5, 5, 5, 5]"
1375385,nice,gorgeous,"It's a nice opportunity for guests to experience the ""real life"" of Los Angeles.","It's a gorgeous opportunity for guests to experience the ""real life"" of Los Angeles.",1,"[2, 3, 3, 4, 4, 4, 4, 4, 5]","[2, 3, 4, 4, 4, 5, 5]"
1374991,nice,gorgeous,"Green space is wonderful- Arb, park near house, Franklin Park, Jamaica Pond, and Forest Hills Cemetery can make very nice running route.","Green space is wonderful- Arb, park near house, Franklin Park, Jamaica Pond, and Forest Hills Cemetery can make very gorgeous running route.",1,"[3, 4, 4, 4, 4, 5, 5, 5, 5]","[4, 4, 4, 4, 5, 5, 5, 5, 5, 5]"
323770,exciting,interesting,"Bucktown/Wicker Park just got ranked as Chicago's trendiest and highest rental demand neighborhood... and is known for its unique collection of stores and restaurants, as well as its exciting nightlife!","Bucktown/Wicker Park just got ranked as Chicago's trendiest and highest rental demand neighborhood... and is known for its unique collection of stores and restaurants, as well as its interesting nightlife!",1,"[5, 5, 5, 5, 5, 5, 5, 5]","[1, 4, 4, 4, 5, 5, 5, 5, 5]"
1147392,apartment,condo,"Our apartment is located in the Marigny, one of the most historic and well-preserved neighborhoods in New Orleans, conveniently located between the French Quarter and the bohemian Bywater neighborhoods and Frenchmen Street - the best place to catch local music.","Our condo is located in the Marigny, one of the most historic and well-preserved neighborhoods in New Orleans, conveniently located between the French Quarter and the bohemian Bywater neighborhoods and Frenchmen Street - the best place to catch local music.",1,"[4, 4, 5, 5, 5, 5, 5, 5, 5]","[4, 4, 5, 5, 5, 5, 5, 5]"
